TRANSPOSITION_TABLE_SIZE,AVERAGE_TIME_PER_MOVE197,1.539144765625E7
231,5969818.783783784
261,1.4170475806451613E7
383,1.1605393248E7
408,1.1038855836601308E7
437,1.0579082141304348E7
462,9648204.900473934
491,9588745.111570248
521,8856406.05109489
542,8371978.31986532
572,9950113.137614679
601,1.0256727322128851E7
631,9811033.93059126
660,9810031.928400954
689,9545726.962138085
717,9405310.093945721
747,9347044.784735812
778,9855725.340699816
806,9762298.236933798
834,9725476.978512397
864,9447243.993710691
892,9745969.226726728
918,9704741.402017292
946,9693884.716850828
976,9525324.274172185
976,78156.0
976,61978.375
976,54340.90625
976,49213.1370967742
976,45610.9025974026
976,49994.60773480663
976,47458.214953271025
976,46010.205882352944
976,48925.56296296296
976,45921.14569536424
976,43342.45697329377
976,41553.0162601626
976,43160.393483709275
976,43942.78139534884
976,51565.10775862069
976,55904.87903225807
976,58016.05123339658
976,55818.82974910394
976,53899.707482993195
976,52133.22006472492
976,50452.049382716046
976,49196.43888070692
